index, pos_x, pos_y, pos_z, size_x, size_y, size_z
233,-326.1363,3.0,189.0065,4.0,0.03,3.2
234,470.0473,3.0,-310.4296,4.0,0.03,3.2
235,73.6726,3.0,471.3321,4.0,0.03,3.2
236,-528.118,3.0,155.1732,4.0,0.03,3.2
237,232.2117,3.0,-529.0561,4.0,0.03,3.2
238,-517.8999,3.0,-352.9889,4.0,0.03,3.2
239,-424.8693,3.0,352.0706,4.0,0.03,3.2
240,-415.2532,3.0,-389.9989,4.0,0.03,3.2
241,52.3528,3.0,123.0148,4.0,0.03,3.2
242,272.3473,3.0,243.9168,4.0,0.03,3.2
243,480.844,3.0,-325.8587,4.0,0.03,3.2
244,175.2445,3.0,-630.8174,4.0,0.03,3.2
245,-381.6205,3.0,374.3585,4.0,0.03,3.2
246,593.5754,3.0,177.1444,4.0,0.03,3.2
247,-101.6158,3.0,419.8338,4.0,0.03,3.2
248,23.673,3.0,-242.1867,4.0,0.03,3.2
249,-98.1162,3.0,380.6863,4.0,0.03,3.2
250,144.0122,3.0,487.978,4.0,0.03,3.2
251,-165.6605,3.0,103.8489,4.0,0.03,3.2
252,-483.3171,3.0,264.6401,4.0,0.03,3.2
253,-425.878,3.0,-159.8004,4.0,0.03,3.2
254,199.6345,3.0,-136.0688,4.0,0.03,3.2
255,529.7564,3.0,-193.7181,4.0,0.03,3.2
256,-71.1439,3.0,118.8906,4.0,0.03,3.2
257,-95.4985,3.0,496.2909,4.0,0.03,3.2
258,-108.515,3.0,248.1658,4.0,0.03,3.2
259,149.268,3.0,-9.7887,4.0,0.03,3.2
260,-218.9383,3.0,33.9394,4.0,0.03,3.2
261,-451.4046,3.0,52.6918,4.0,0.03,3.2
262,271.3458,3.0,-531.7443,4.0,0.03,3.2
263,-292.5697,3.0,-408.6577,4.0,0.03,3.2
264,-233.7444,3.0,-393.7331,4.0,0.03,3.2
265,582.0565,3.0,-7.5642,4.0,0.03,3.2
266,225.7846,3.0,151.2101,4.0,0.03,3.2
267,-86.2441,3.0,285.0626,4.0,0.03,3.2
268,192.0707,3.0,471.8694,4.0,0.03,3.2
269,-397.5208,3.0,-331.7048,4.0,0.03,3.2
270,39.6556,3.0,-474.8904,4.0,0.03,3.2
271,-26.2712,3.0,474.8232,4.0,0.03,3.2
272,312.3888,3.0,-211.5436,4.0,0.03,3.2
273,114.1648,3.0,380.2128,4.0,0.03,3.2
274,176.234,3.0,477.7721,4.0,0.03,3.2
275,-370.2663,3.0,-153.8803,4.0,0.03,3.2
276,-482.264,3.0,-400.9436,4.0,0.03,3.2
277,-333.1993,3.0,224.244,4.0,0.03,3.2
278,-515.7838,3.0,192.6918,4.0,0.03,3.2
279,389.7616,3.0,-140.6038,4.0,0.03,3.2
280,657.704,3.0,-54.7109,4.0,0.03,3.2
281,-162.0513,3.0,-22.1271,4.0,0.03,3.2
282,-158.0696,3.0,-358.752,4.0,0.03,3.2
283,479.8445,3.0,-182.8515,4.0,0.03,3.2
284,-318.5357,3.0,-286.3763,4.0,0.03,3.2
285,135.7804,3.0,458.2979,4.0,0.03,3.2
286,-75.6857,3.0,-297.7674,4.0,0.03,3.2
287,-15.1499,3.0,-461.051,4.0,0.03,3.2
288,315.1063,3.0,423.0657,4.0,0.03,3.2
289,147.2566,3.0,-25.7433,4.0,0.03,3.2
290,-209.0355,3.0,407.8244,4.0,0.03,3.2
291,350.0683,3.0,287.055,4.0,0.03,3.2
292,-391.4466,3.0,312.9699,4.0,0.03,3.2
293,366.4048,3.0,-472.7513,4.0,0.03,3.2
294,160.2085,3.0,483.1436,4.0,0.03,3.2
295,374.9409,3.0,-418.7649,4.0,0.03,3.2
296,-140.7418,3.0,422.0113,4.0,0.03,3.2
297,409.1724,3.0,226.8684,4.0,0.03,3.2
298,-222.5309,3.0,400.3786,4.0,0.03,3.2
299,-2.8352,3.0,491.298,4.0,0.03,3.2
300,598.4767,3.0,-276.6684,4.0,0.03,3.2
301,75.6551,3.0,388.997,4.0,0.03,3.2
302,370.5449,3.0,-307.4762,4.0,0.03,3.2
303,326.3236,3.0,232.7161,4.0,0.03,3.2
304,-515.9614,3.0,11.6464,4.0,0.03,3.2
305,371.0154,3.0,-445.1571,4.0,0.03,3.2
306,349.1431,3.0,144.7944,4.0,0.03,3.2
307,659.624,3.0,22.1937,4.0,0.03,3.2
308,187.4362,3.0,-324.6676,4.0,0.03,3.2
309,194.7012,3.0,320.5266,4.0,0.03,3.2
310,435.6156,3.0,300.4108,4.0,0.03,3.2
311,-192.3613,3.0,77.4971,4.0,0.03,3.2
312,113.6623,3.0,434.3196,4.0,0.03,3.2
313,76.9724,3.0,-456.284,4.0,0.03,3.2
314,-612.4616,3.0,-205.501,4.0,0.03,3.2
315,-221.3185,3.0,-8.368,4.0,0.03,3.2
316,-281.9805,3.0,-455.7349,4.0,0.03,3.2
317,-379.0855,3.0,-328.1032,4.0,0.03,3.2
318,173.5106,3.0,166.9901,4.0,0.03,3.2
319,-36.3146,3.0,190.8686,4.0,0.03,3.2
320,-204.2738,3.0,-534.6326,4.0,0.03,3.2
321,548.5863,3.0,243.7541,4.0,0.03,3.2
322,-213.9709,3.0,-312.9084,4.0,0.03,3.2
323,-284.1295,3.0,-302.8644,4.0,0.03,3.2
324,284.4289,3.0,443.7751,4.0,0.03,3.2
325,44.8266,3.0,-232.6579,4.0,0.03,3.2
326,-470.8116,3.0,250.6715,4.0,0.03,3.2
327,101.5642,3.0,79.0247,4.0,0.03,3.2
328,-433.8257,3.0,-397.5654,4.0,0.03,3.2
329,83.8741,3.0,106.2878,4.0,0.03,3.2
330,-595.9562,3.0,107.1339,4.0,0.03,3.2
331,-251.9031,3.0,-132.268,4.0,0.03,3.2
332,296.1297,3.0,-518.6936,4.0,0.03,3.2
333,-22.9032,3.0,-256.0258,4.0,0.03,3.2
334,549.1005,3.0,191.997,4.0,0.03,3.2
335,-643.4927,3.0,53.0144,4.0,0.03,3.2
336,-333.877,3.0,374.876,4.0,0.03,3.2
337,-176.1677,3.0,-455.9165,4.0,0.03,3.2
338,239.5346,3.0,203.8261,4.0,0.03,3.2
339,-112.0024,3.0,492.5884,4.0,0.03,3.2
340,-292.2349,3.0,179.7702,4.0,0.03,3.2
341,498.5318,3.0,6.9226,4.0,0.03,3.2
342,-54.8842,3.0,302.7863,4.0,0.03,3.2
343,-223.2958,3.0,-177.4765,4.0,0.03,3.2
344,-299.8782,3.0,423.7026,4.0,0.03,3.2
345,-410.5379,3.0,159.6658,4.0,0.03,3.2
346,-554.6635,3.0,192.0399,4.0,0.03,3.2
347,173.9042,3.0,36.4468,4.0,0.03,3.2
348,400.2433,3.0,213.2478,4.0,0.03,3.2
349,-474.5447,3.0,313.8336,4.0,0.03,3.2
350,410.0564,3.0,-61.879,4.0,0.03,3.2
351,-149.5784,3.0,-224.5004,4.0,0.03,3.2
352,-126.4677,3.0,75.9304,4.0,0.03,3.2
353,319.707,3.0,319.8428,4.0,0.03,3.2
354,-372.6703,3.0,383.4367,4.0,0.03,3.2
355,-432.1252,3.0,-342.9742,4.0,0.03,3.2
356,230.3226,3.0,-129.102,4.0,0.03,3.2
357,-254.9902,3.0,-345.4954,4.0,0.03,3.2
358,-63.1365,3.0,170.3215,4.0,0.03,3.2
359,-549.9716,3.0,205.2571,4.0,0.03,3.2
360,597.5882,3.0,163.269,4.0,0.03,3.2
361,-329.3372,3.0,273.603,4.0,0.03,3.2
362,-128.3741,3.0,488.337,4.0,0.03,3.2
363,-360.0545,3.0,-55.2309,4.0,0.03,3.2
364,470.8957,3.0,309.1608,4.0,0.03,3.2
365,-19.8511,3.0,-120.0258,4.0,0.03,3.2
366,-5.2096,3.0,299.7229,4.0,0.03,3.2
367,101.429,3.0,383.5683,4.0,0.03,3.2
368,280.8196,3.0,-9.8933,4.0,0.03,3.2
369,-116.2929,3.0,475.6363,4.0,0.03,3.2
370,-36.7734,3.0,-325.5474,4.0,0.03,3.2
371,-123.2837,3.0,372.8124,4.0,0.03,3.2
372,319.3759,3.0,-222.1497,4.0,0.03,3.2
373,554.183,3.0,230.9214,4.0,0.03,3.2
374,-148.9253,3.0,-300.7692,4.0,0.03,3.2
375,254.0652,3.0,216.7083,4.0,0.03,3.2
376,394.5084,3.0,77.379,4.0,0.03,3.2
377,-221.7674,3.0,384.1343,4.0,0.03,3.2
378,-236.0136,3.0,-235.9896,4.0,0.03,3.2
379,328.5523,3.0,162.8809,4.0,0.03,3.2
380,-202.4349,3.0,189.1687,4.0,0.03,3.2
381,136.8933,3.0,-313.0535,4.0,0.03,3.2
382,176.794,3.0,-305.2697,4.0,0.03,3.2
383,-308.7866,3.0,-297.0973,4.0,0.03,3.2
384,430.058,3.0,335.3767,4.0,0.03,3.2
385,-47.4861,3.0,344.9211,4.0,0.03,3.2
386,347.0263,3.0,176.9797,4.0,0.03,3.2
387,79.947,3.0,376.191,4.0,0.03,3.2
388,-144.5959,3.0,483.5414,4.0,0.03,3.2
389,-85.3509,3.0,383.9885,4.0,0.03,3.2
390,-161.5149,3.0,74.2184,4.0,0.03,3.2
391,198.1018,3.0,279.9602,4.0,0.03,3.2
392,44.1022,3.0,405.9216,4.0,0.03,3.2
393,240.9711,3.0,-29.9734,4.0,0.03,3.2
394,261.0834,3.0,286.9649,4.0,0.03,3.2
395,-586.8564,3.0,149.5706,4.0,0.03,3.2
396,519.5729,3.0,-169.5777,4.0,0.03,3.2
397,119.5903,3.0,-223.6048,4.0,0.03,3.2
398,-195.6196,3.0,398.5571,4.0,0.03,3.2
399,-352.1485,3.0,-266.2001,4.0,0.03,3.2
400,-362.9769,3.0,29.9286,4.0,0.03,3.2
401,633.6745,3.0,88.3597,4.0,0.03,3.2
402,178.5504,3.0,-292.3367,4.0,0.03,3.2
403,207.7012,3.0,465.4423,4.0,0.03,3.2
404,134.2567,3.0,125.5392,4.0,0.03,3.2
405,-207.3602,3.0,97.6276,4.0,0.03,3.2
406,38.2037,3.0,419.0702,4.0,0.03,3.2
407,407.3988,3.0,-285.1292,4.0,0.03,3.2
408,127.8671,3.0,120.6338,4.0,0.03,3.2
409,-298.19,3.0,-146.9228,4.0,0.03,3.2
410,-478.8729,3.0,72.3616,4.0,0.03,3.2
411,-598.0599,3.0,-94.5186,4.0,0.03,3.2
412,-600.3435,3.0,78.5303,4.0,0.03,3.2
413,-207.8391,3.0,289.0997,4.0,0.03,3.2
414,-528.1182,3.0,256.9067,4.0,0.03,3.2
415,-288.8791,3.0,372.7326,4.0,0.03,3.2
